node_id,video_id,titulo,canal,categoria,vistas,comentarios_muestra,comunidad_id,comunidad_nombre,estado_estructural,grado,grado_ponderado,intermediacion_global,intermediacion_componente,cercania_global,cercania_componente,pagerank_global,pagerank_componente,es_punto_articulacion,rol_estructural
video::vp9MPfDG6AE,vp9MPfDG6AE,"Comunicado – COVIAL / Ministerio de Comunicaciones, Infraestructura y Vivienda",Noti7,News & Politics,260,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::vqcF9RFMOLQ,vqcF9RFMOLQ,"Ciudad de Guatemala, el mejor lugar para vivir",Municipalidad de Guatemala,News & Politics,215,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::w57G_5jsqtU,w57G_5jsqtU,Tráfico intenso por regreso a clases del sector público extiende horas pico en el área metropolitana,PrensaLibreOficial,News & Politics,625,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::wS6yC3yOAeA,wS6yC3yOAeA,Noticiero El Informativo. Nuestra semana de resultados.,Gobierno de la República de Guatemala,Entertainment,1383,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::wVncmfsugww,wVncmfsugww,"Spot Rendición de Cuentas, tercer cuatrimestre 2023 - 1",CIV -Ministerio de Comunicaciones,People & Blogs,15,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::wYZPaJdVuhE,wYZPaJdVuhE,#LaCharla ¿Quién dirigirá el sistema portuario y qué decisiones debe tomar primero?,Guatevisión,News & Politics,202,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::wm1f52Mvzag,wm1f52Mvzag,Gloria Álvarez: ¿Podría ser la próxima presidenta de Guatemala?,Jorge Ramos,News & Politics,31357,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::wpYwX-bGoz0,wpYwX-bGoz0,CIV prioriza proyectos con potencial para generar desarrollo en Guatemala,CIV -Ministerio de Comunicaciones,People & Blogs,468,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::x9TPnjUeuoo,x9TPnjUeuoo,VIDEO INSTITUCIONAL PROVIAL,CIV -Ministerio de Comunicaciones,People & Blogs,2250,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::xEcC_aMDhAk,xEcC_aMDhAk,MINGOB y COPADEH avanzan en la protección de personas defensoras de DDHH,Ministerio de Gobernación,News & Politics,17,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::xQgP0n8hVSI,xQgP0n8hVSI,"Primero te usan, y cuando ya no les sirves te desechan.",Ministerio de Gobernación,News & Politics,28,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::x_CB0ZRLQTA,x_CB0ZRLQTA,Ricardo Quiñónez paga con nuestros impuestos netcenter,AlcaldexAccidente,People & Blogs,29419,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::y8XMbMxMF8E,y8XMbMxMF8E,"Gracias a la inteligencia, coordinación y firmeza, se dió un duro golpe al crimen organizado",Ministerio de Gobernación,News & Politics,84,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::yCmBtmOm6nw,yCmBtmOm6nw,“¿DÓNDE ESTÁN?”: GOBIERNO IMPULSA MECANISMO PARA BUSCAR A DESAPARECIDOS DEL CONFLICTO ARMADO,IDocumenta,News & Politics,6,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::zfJlUXRSaCU,zfJlUXRSaCU,Brief Political History of Guatemala,Crónica Panamericana,People & Blogs,53547,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::zyA0BpEYcQU,zyA0BpEYcQU,Discusión entre conductor y jefe de la PMT,Nuestro Mundo,People & Blogs,55349,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
