comment_id,video_id,author_channel_id,author_handle,titulo_video,canal,categoria_video,texto_original,texto_limpio,puntaje_bruto,sentimiento,categoria_sentimiento,terminos_lexico,terminos_positivos,terminos_negativos,emojis_valorados,negaciones_aplicadas,texto_vacio,cobertura_lexica,comunidad_id
UgxPHo503SIH-EmlR-t4AaABAg,6W4u8sGEnGM,UCV3fr-YOixFKCZBbJP1-X4w,/@albertoshernandez5251,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,Entertainment,"EL PRESIDENTE BERNARDO AREVALO TIENE QUE DAR SEGUNDA BUELTA COMO PRESIDENTE PARA QUE TERMINE TODOS LOS PROYECTOS QUE LOS ANTERIORES PRESINTES LADRONES NO FINALISARON .,EL PRESIDENTE BERNARDO AREVALO TIENE QUE DAR SEGUNDA BUELTA PORQUE SE VE MUY BIÉN QUE SI ESTA HACIENDO MUCHAS COSAS BUENAS EN GUATEMALA 👍.",presidente bernardo arevalo dar segunda buelta presidente termine todos proyectos anteriores presintes ladrones finalisaron presidente bernardo arevalo dar segunda buelta ve bién haciendo muchas cosas buenas guatemala,1.1875,0.2931,positivo,2,buenas,ladrones,👍,0,False,True,2
UgxPRaGm9MdlK4U6VPt4AaABAg,n8iP75gIpmw,UCDQaQv0hr2SS_PO-CMEwVHg,/@federicosaquimux1933,Qué rico come tu diputado,Quorum,News & Politics,"Bueno, si lo tienen más que ""merecido"" por el trabajo por la patria, hay menús más baratos. Aunque lo justifica y lo rejustifica, no es merecido con tanta desnutrición y costo de la canasta básica.

Por honestidad, se puede reintegrar.",bueno tienen más merecido trabajo patria menús más baratos justifica rejustifica merecido tanta desnutrición costo canasta básica honestidad puede reintegrar,2.1,0.4767,positivo,3,bueno | honestidad,desnutrición,,0,False,True,1
UgxQC-ejR063rkAb1VB4AaABAg,yLZS3JiEBg8,UCefAH1MbvADWUjE9WVcB9EQ,/@jabriz8152,Arroz con pollo a la MONOPOLIO,Quorum,News & Politics,"Y no hay manera de aprobar la ley de libre competencia, Guatepeor, aranceles, trabas a importaciones, suministros, hasta cuando",manera aprobar ley libre competencia guatepeor aranceles trabas importaciones suministros,0.0,0.0,sin cobertura léxica,0,,,,0,False,False,3
UgxR0AXNH_3DGn-T1494AaABAg,n8iP75gIpmw,UC72gBAtyb_VXQlYDcFrh6oQ,/@osmanmorales3012,Qué rico come tu diputado,Quorum,News & Politics,Y para que participan si por el sueldo no es sino por robar,participan sueldo sino robar,-3.0,-0.6124,negativo,1,,robar,,0,False,True,1
UgxR1eqvFSEtPNShD8x4AaABAg,6W4u8sGEnGM,UCEHXl4VvvVpq-_4xC5tsbhg,/@anibalg47,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,Entertainment,SEÑORES ESTE ES UN MEGA PROYECTO. DEBEMOS TRABAJAR Y PENSAR EN EL FUTURO DE GUATEMALA.AVANCEMOS HACIA ADELANTE.  DELANTE...,señores mega proyecto debemos trabajar pensar futuro guatemala avancemos hacia adelante delante,1.95,0.4497,positivo,1,adelante,,,0,False,True,2
UgxS0pN-vg0fjeNSLeJ4AaABAg,6W4u8sGEnGM,UCeQk-WfEA-cJRq4EKeE7TOw,/@franciscojuarez9223,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,Entertainment,lamento arruinarles la fiesta pero dudo que esto logren materializarlo y si se logra que soporte un fuerte sismo... lo dudo... desde ya es un reto para el nivel de corrupción en el que vivimos y que se termine esta obra que si beneficiara a miles,lamento arruinarles fiesta dudo logren materializarlo logra soporte fuerte sismo dudo reto nivel corrupción vivimos termine obra beneficiara miles,-5.0,-0.7906,negativo,3,,dudo | dudo | corrupción,,0,False,True,2
UgxTjz0jSJkZW5dGnSp4AaABAg,n8iP75gIpmw,UCkd9W714-947dEE6ZOEBATA,/@ARGELIATELON,Qué rico come tu diputado,Quorum,News & Politics,"Nomás se sientan en el cargo de diputados y ministros y....les crecen ""los cachetes"" hasta les brillan y la barriga. Ej. Benito (tamaletas), Sinibaldi y otros. Y nuestros niños desnutridos....les viene del aire.",nomás sientan cargo diputados ministros crecen cachetes brillan barriga ej benito tamaletas sinibaldi otros nuestros niños desnutridos viene aire,0.0,0.0,sin cobertura léxica,0,,,,0,False,False,1
UgxVUS-jkZU2DAjmNjR4AaABAg,n8iP75gIpmw,UCljDbleJul41G1TzOjOZAVA,/@hectorcarranza3777,Qué rico come tu diputado,Quorum,News & Politics,x eso es que estan bravos todos esos sinverguenzas xq ya no pueden hacer sus cochinadas ahora con don vernardo arevalo antes asian amedia noche a escondidas del pueblo ahora seles termino todo que verguenza que el pueblo sufriendo muchos problemas y eyos gosando de buenas dietas,estan bravos todos esos sinverguenzas xq pueden hacer cochinadas ahora don vernardo arevalo asian amedia noche escondidas pueblo ahora seles termino verguenza pueblo sufriendo muchos problemas eyos gosando buenas dietas,-5.75,-0.8294,negativo,5,buenas,sinverguenzas | verguenza | sufriendo | problemas,,0,False,True,1
UgxW0ZnTohConSPgOpp4AaABAg,j43HgwYFKfk,UCGGHbtfbbe0o68etrOf0qxw,/@karensussetteleonvargas9794,La cooptación de Walter Mazariegos en la USAC,Quorum,News & Politics,Exelente,exelente,0.0,0.0,sin cobertura léxica,0,,,,0,False,False,1
UgxWzoHDeFfVC7jrjzF4AaABAg,OkXlHx0hx-8,UCVdjCrh4tQoX3haNAZv-n5A,/@aurahernandez5646,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,News & Politics,Dios los bendiga y disfruten su familia Dios sabe lo que hace bendiciones para todos.,dios bendiga disfruten familia dios sabe hace bendiciones todos,2.0,0.4588,positivo,1,bendiciones,,,0,False,True,0
UgxWzoHDeFfVC7jrjzF4AaABAg.Aa9DdH5avRRAaB_gLYRAuw,OkXlHx0hx-8,UCi2KiZq63sRq8Mfbcp-MelQ,/@eugeneramirez4405,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,News & Politics,If you're not a citizen you cannot stay!,if you re not citizen you cannot stay,0.0,0.0,sin cobertura léxica,0,,,,0,False,False,0
UgxXGkvxY-TdtPROWcV4AaABAg,j43HgwYFKfk,UCZeIIQrGAedW8tCbKWmGY-A,/@mariocordon8873,La cooptación de Walter Mazariegos en la USAC,Quorum,News & Politics,No cabe duda que es el reflejo de la cooptacion que el pacto de corruptos a echo en todas las instituciones del pais.,cabe duda reflejo cooptacion pacto corruptos echo todas instituciones pais,-2.63,-0.5618,negativo,2,duda,corruptos,,1,False,True,1
UgxXy9CurqMBEjFnVwF4AaABAg,ndAZjHqzzT8,UCvcu1kR8xMYy_I1Ty-2mV2Q,/@hashojea7348,Internet: escoger el menos malo,Quorum,News & Politics,"Excelente video, me acabo de suscribir al canal y ahora a ver los demás videos.",excelente video acabo suscribir canal ahora ver demás videos,3.0,0.6124,positivo,1,excelente,,,0,False,True,3
UgxZFzh6jzOX7Avhk1h4AaABAg,n8iP75gIpmw,UCFUuDARXdmmIrLppEqf-rFg,/@allanmunoz7410,Qué rico come tu diputado,Quorum,News & Politics,"Es con criterio, no le podemos exigir mucho.",criterio podemos exigir mucho,0.0,0.0,sin cobertura léxica,0,,,,0,False,False,1
Ugx_gjcVH5SlIKBNTGh4AaABAg,yLZS3JiEBg8,UCCUmP4PlbwgikVFpYwbtRTg,/@alhvi,Arroz con pollo a la MONOPOLIO,Quorum,News & Politics,"Excelente trabajo. Sigan haciendo más vídeos así, explicando con lenguaje sencillo. Quisiera apoyarles más, pero les dejo mi like, comentario y comparto.",excelente trabajo sigan haciendo más vídeos así explicando lenguaje sencillo quisiera apoyarles más dejo like comentario comparto,4.0,0.7184,positivo,2,excelente | comparto,,,0,False,True,3
Ugxb-sknzjBr3wecCw94AaABAg,06mFNPU0aB8,UCfXykdbSU97rj987LDUGfvg,/@MariaSantos-c8y3h,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,News & Politics,Por q no dan la cara,dan cara,0.0,0.0,sin cobertura léxica,0,,,,0,False,False,2
Ugxb1xcC9SSJ_5vSArF4AaABAg,j43HgwYFKfk,UC4Avya4kmR4Q0FrfFdBozSQ,/@davidlima1348,La cooptación de Walter Mazariegos en la USAC,Quorum,News & Politics,"Urge estudiantes y catedráticos con lucha social,en recuperar la autonomía universitaria,es urgente fiscalizar los bienes de quienes estuvieron apoyando a este rector,revisar viajesitos a muchos estudiantes que se vendieron urge una A.E.U. que ame la sancarlos y nuestro bendito país,urgente fiscalizarlos",urge estudiantes catedráticos lucha social recuperar autonomía universitaria urgente fiscalizar bienes quienes estuvieron apoyando rector revisar viajesitos muchos estudiantes vendieron urge ame sancarlos nuestro bendito país urgente fiscalizarlos,0.0,0.0,sin cobertura léxica,0,,,,0,False,False,1
