node_id,node_type,label,author_channel_id,video_id,title,channel_name,category,view_count,has_observed_edge
author::UC3qn1yJA5PeW9rkGPatQxiw,author,@VICTOREST19,UC3qn1yJA5PeW9rkGPatQxiw,,,,,,True
author::UC4Avya4kmR4Q0FrfFdBozSQ,author,@davidlima1348,UC4Avya4kmR4Q0FrfFdBozSQ,,,,,,True
author::UC4cXueR2bKGFJV0Fk76gwmA,author,@aluxdel4792,UC4cXueR2bKGFJV0Fk76gwmA,,,,,,True
author::UC4kg7zuTfqQKLd2bkZrSYBA,author,@zoilagarcia9019,UC4kg7zuTfqQKLd2bkZrSYBA,,,,,,True
author::UC4wq3DcbfaG6dtCqn8Oyu3w,author,@hugoasencio7764,UC4wq3DcbfaG6dtCqn8Oyu3w,,,,,,True
author::UC5H8ASmMC9WrURmzeB4ySog,author,@ManuelEdran,UC5H8ASmMC9WrURmzeB4ySog,,,,,,True
author::UC5PrBbmUlQolwqmiru7yZhw,author,@lazarochavez8269,UC5PrBbmUlQolwqmiru7yZhw,,,,,,True
author::UC5PyGvSfFM--OVKmQ3COu6g,author,@FreddyGmez,UC5PyGvSfFM--OVKmQ3COu6g,,,,,,True
author::UC5bG9nc_JV3FsNP2KseQiYw,author,@giovannirodas4836,UC5bG9nc_JV3FsNP2KseQiYw,,,,,,True
author::UC5fvhAfm89JH8eDFdvc0xYw,author,@isaidiaz2388,UC5fvhAfm89JH8eDFdvc0xYw,,,,,,True
author::UC5hvEnRUzI4Kfvwnyi4QxqQ,author,@leonelsantizo5281,UC5hvEnRUzI4Kfvwnyi4QxqQ,,,,,,True
author::UC5wuDq3U3vRAhOQI3D7gNdw,author,@allanreneramirezgonzalez534,UC5wuDq3U3vRAhOQI3D7gNdw,,,,,,True
author::UC63tFvbQ_hJhGDi2nbjssjw,author,@AbigailRodas-w2r,UC63tFvbQ_hJhGDi2nbjssjw,,,,,,True
author::UC650pRT-OYzny3GwOH8Cgfw,author,@edvinparedesherrera7632,UC650pRT-OYzny3GwOH8Cgfw,,,,,,True
author::UC6PvO1_k5lHKGdAPo5_C6TA,author,@johnmejia992,UC6PvO1_k5lHKGdAPo5_C6TA,,,,,,True
author::UC6Uj1FT5JjDSF8vudvDxPAA,author,@alfredoortega9264,UC6Uj1FT5JjDSF8vudvDxPAA,,,,,,True
author::UC6YSZqL0vEcI-niPKIMUGfw,author,@maxwellsales885,UC6YSZqL0vEcI-niPKIMUGfw,,,,,,True
