indicador,valor
comentarios_puntuados,True
todos_con_video_identificado,True
sentimiento_dentro_de_escala,True
categorias_suman_total,True
comentarios_asignados_a_comunidad,True
comunidades_cubiertas_en_contenido,True
grupos_pequenos_marcados,True
