red,componente,tamano,aristas_internas,es_componente_mayor
bipartita_autor_video,1,286,287,True
bipartita_autor_video,2,26,25,False
bipartita_autor_video,3,19,18,False
bipartita_autor_video,4,5,4,False
bipartita_autor_video,5,4,3,False
bipartita_autor_video,6,3,2,False
bipartita_autor_video,7,2,1,False
bipartita_autor_video,8,2,1,False
bipartita_autor_video,9,2,1,False
bipartita_autor_video,10,2,1,False
bipartita_autor_video,11,1,0,False
bipartita_autor_video,12,1,0,False
bipartita_autor_video,13,1,0,False
bipartita_autor_video,14,1,0,False
bipartita_autor_video,15,1,0,False
bipartita_autor_video,16,1,0,False
bipartita_autor_video,17,1,0,False
bipartita_autor_video,18,1,0,False
bipartita_autor_video,19,1,0,False
bipartita_autor_video,20,1,0,False
bipartita_autor_video,21,1,0,False
bipartita_autor_video,22,1,0,False
bipartita_autor_video,23,1,0,False
bipartita_autor_video,24,1,0,False
bipartita_autor_video,25,1,0,False
bipartita_autor_video,26,1,0,False
bipartita_autor_video,27,1,0,False
bipartita_autor_video,28,1,0,False
bipartita_autor_video,29,1,0,False
bipartita_autor_video,30,1,0,False
bipartita_autor_video,31,1,0,False
bipartita_autor_video,32,1,0,False
bipartita_autor_video,33,1,0,False
bipartita_autor_video,34,1,0,False
bipartita_autor_video,35,1,0,False
bipartita_autor_video,36,1,0,False
bipartita_autor_video,37,1,0,False
bipartita_autor_video,38,1,0,False
bipartita_autor_video,39,1,0,False
bipartita_autor_video,40,1,0,False
bipartita_autor_video,41,1,0,False
bipartita_autor_video,42,1,0,False
bipartita_autor_video,43,1,0,False
bipartita_autor_video,44,1,0,False
bipartita_autor_video,45,1,0,False
bipartita_autor_video,46,1,0,False
bipartita_autor_video,47,1,0,False
bipartita_autor_video,48,1,0,False
bipartita_autor_video,49,1,0,False
bipartita_autor_video,50,1,0,False
bipartita_autor_video,51,1,0,False
bipartita_autor_video,52,1,0,False
bipartita_autor_video,53,1,0,False
bipartita_autor_video,54,1,0,False
bipartita_autor_video,55,1,0,False
bipartita_autor_video,56,1,0,False
bipartita_autor_video,57,1,0,False
bipartita_autor_video,58,1,0,False
bipartita_autor_video,59,1,0,False
bipartita_autor_video,60,1,0,False
bipartita_autor_video,61,1,0,False
bipartita_autor_video,62,1,0,False
bipartita_autor_video,63,1,0,False
bipartita_autor_video,64,1,0,False
bipartita_autor_video,65,1,0,False
bipartita_autor_video,66,1,0,False
bipartita_autor_video,67,1,0,False
bipartita_autor_video,68,1,0,False
bipartita_autor_video,69,1,0,False
bipartita_autor_video,70,1,0,False
bipartita_autor_video,71,1,0,False
bipartita_autor_video,72,1,0,False
bipartita_autor_video,73,1,0,False
bipartita_autor_video,74,1,0,False
bipartita_autor_video,75,1,0,False
bipartita_autor_video,76,1,0,False
bipartita_autor_video,77,1,0,False
bipartita_autor_video,78,1,0,False
bipartita_autor_video,79,1,0,False
bipartita_autor_video,80,1,0,False
bipartita_autor_video,81,1,0,False
bipartita_autor_video,82,1,0,False
bipartita_autor_video,83,1,0,False
bipartita_autor_video,84,1,0,False
bipartita_autor_video,85,1,0,False
bipartita_autor_video,86,1,0,False
bipartita_autor_video,87,1,0,False
bipartita_autor_video,88,1,0,False
bipartita_autor_video,89,1,0,False
bipartita_autor_video,90,1,0,False
bipartita_autor_video,91,1,0,False
bipartita_autor_video,92,1,0,False
bipartita_autor_video,93,1,0,False
bipartita_autor_video,94,1,0,False
bipartita_autor_video,95,1,0,False
bipartita_autor_video,96,1,0,False
bipartita_autor_video,97,1,0,False
bipartita_autor_video,98,1,0,False
bipartita_autor_video,99,1,0,False
bipartita_autor_video,100,1,0,False
bipartita_autor_video,101,1,0,False
bipartita_autor_video,102,1,0,False
bipartita_autor_video,103,1,0,False
bipartita_autor_video,104,1,0,False
bipartita_autor_video,105,1,0,False
bipartita_autor_video,106,1,0,False
bipartita_autor_video,107,1,0,False
bipartita_autor_video,108,1,0,False
bipartita_autor_video,109,1,0,False
bipartita_autor_video,110,1,0,False
bipartita_autor_video,111,1,0,False
bipartita_autor_video,112,1,0,False
bipartita_autor_video,113,1,0,False
bipartita_autor_video,114,1,0,False
bipartita_autor_video,115,1,0,False
bipartita_autor_video,116,1,0,False
bipartita_autor_video,117,1,0,False
bipartita_autor_video,118,1,0,False
bipartita_autor_video,119,1,0,False
bipartita_autor_video,120,1,0,False
bipartita_autor_video,121,1,0,False
bipartita_autor_video,122,1,0,False
bipartita_autor_video,123,1,0,False
bipartita_autor_video,124,1,0,False
bipartita_autor_video,125,1,0,False
bipartita_autor_video,126,1,0,False
bipartita_autor_video,127,1,0,False
bipartita_autor_video,128,1,0,False
bipartita_autor_video,129,1,0,False
bipartita_autor_video,130,1,0,False
bipartita_autor_video,131,1,0,False
bipartita_autor_video,132,1,0,False
bipartita_autor_video,133,1,0,False
bipartita_autor_video,134,1,0,False
bipartita_autor_video,135,1,0,False
bipartita_autor_video,136,1,0,False
bipartita_autor_video,137,1,0,False
bipartita_autor_video,138,1,0,False
bipartita_autor_video,139,1,0,False
bipartita_autor_video,140,1,0,False
bipartita_autor_video,141,1,0,False
bipartita_autor_video,142,1,0,False
bipartita_autor_video,143,1,0,False
bipartita_autor_video,144,1,0,False
bipartita_autor_video,145,1,0,False
bipartita_autor_video,146,1,0,False
bipartita_autor_video,147,1,0,False
bipartita_autor_video,148,1,0,False
bipartita_autor_video,149,1,0,False
bipartita_autor_video,150,1,0,False
bipartita_autor_video,151,1,0,False
bipartita_autor_video,152,1,0,False
bipartita_autor_video,153,1,0,False
bipartita_autor_video,154,1,0,False
bipartita_autor_video,155,1,0,False
bipartita_autor_video,156,1,0,False
bipartita_autor_video,157,1,0,False
bipartita_autor_video,158,1,0,False
bipartita_autor_video,159,1,0,False
bipartita_autor_video,160,1,0,False
bipartita_autor_video,161,1,0,False
bipartita_autor_video,162,1,0,False
bipartita_autor_video,163,1,0,False
bipartita_autor_video,164,1,0,False
bipartita_autor_video,165,1,0,False
bipartita_autor_video,166,1,0,False
bipartita_autor_video,167,1,0,False
bipartita_autor_video,168,1,0,False
bipartita_autor_video,169,1,0,False
bipartita_autor_video,170,1,0,False
bipartita_autor_video,171,1,0,False
bipartita_autor_video,172,1,0,False
bipartita_autor_video,173,1,0,False
bipartita_autor_video,174,1,0,False
bipartita_autor_video,175,1,0,False
bipartita_autor_video,176,1,0,False
bipartita_autor_video,177,1,0,False
bipartita_autor_video,178,1,0,False
bipartita_autor_video,179,1,0,False
bipartita_autor_video,180,1,0,False
bipartita_autor_video,181,1,0,False
bipartita_autor_video,182,1,0,False
bipartita_autor_video,183,1,0,False
bipartita_autor_video,184,1,0,False
bipartita_autor_video,185,1,0,False
bipartita_autor_video,186,1,0,False
bipartita_autor_video,187,1,0,False
bipartita_autor_video,188,1,0,False
bipartita_autor_video,189,1,0,False
bipartita_autor_video,190,1,0,False
bipartita_autor_video,191,1,0,False
bipartita_autor_video,192,1,0,False
bipartita_autor_video,193,1,0,False
bipartita_autor_video,194,1,0,False
bipartita_autor_video,195,1,0,False
bipartita_autor_video,196,1,0,False
